name,id,source,placement_rule,pct_new_chunks_hosting_anchor,expected_per_1000x1000_blocks,average_spacing,biome_terrain_restrictions,sample,relative_std_error,note
Columbia,reg:0,Claude Code set piece,"register lattice: one candidate per 138x138 chunks (2,208 blocks), footprint 51x51; built by columbia if it fits its ground and no higher-ranked set piece (rank < 0) claims it (+2 cordon)",0.002485,0.0971,"about 1 per 3,200 x 3,200 blocks","surface: ground under the footprint within 9 blocks (4-block samples), all samples y64-136","32,936 lattice cells in a 400k x 400k-block square outside r=3,072; 15,529 admitted",0.58%,
Rapture,reg:1,Claude Code set piece,"register lattice: one candidate per 121x121 chunks (1,936 blocks), footprint 45x45; built by rapture if it fits its ground and no higher-ranked set piece (rank < 1) claims it (+2 cordon)",0.0005022,0.0196,"about 1 per 7,100 x 7,100 blocks",sea bed: >= 80% of footprint samples at or below y60 and none above y66,"42,841 lattice cells in a 400k x 400k-block square outside r=3,072; 3,138 admitted",1.72%,
Old Town,reg:2,Claude Code set piece,"register lattice: one candidate per 134x134 chunks (2,144 blocks), footprint 61x61; built by oldTown if it fits its ground and no higher-ranked set piece (rank < 2) claims it (+2 cordon)",0.002327,0.0909,"about 1 per 3,300 x 3,300 blocks","surface: ground under the footprint within 10 blocks (4-block samples), all samples y64-136","34,775 lattice cells in a 400k x 400k-block square outside r=3,072; 14,544 admitted",0.63%,
The Visitor,reg:3,Claude Code set piece,"register lattice: one candidate per 132x132 chunks (2,112 blocks), footprint 57x57; built by alienShip if it fits its ground and no higher-ranked set piece (rank < 3) claims it (+2 cordon)",0.002616,0.1022,"about 1 per 3,100 x 3,100 blocks","surface: ground under the footprint within 10 blocks (4-block samples), all samples y64-136","35,714 lattice cells in a 400k x 400k-block square outside r=3,072; 16,346 admitted",0.58%,
The Field,reg:4,Claude Code set piece,"register lattice: one candidate per 130x130 chunks (2,080 blocks), footprint 45x45; built by matrix if it fits its ground and no higher-ranked set piece (rank < 4) claims it (+2 cordon)",0.001122,0.0438,"about 1 per 4,800 x 4,800 blocks",buried: ceiling 10 blocks under the lowest ground sample and 64 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"36,857 lattice cells in a 400k x 400k-block square outside r=3,072; 7,010 admitted",1.07%,
The Buried City,reg:5,Claude Code set piece,"register lattice: one candidate per 128x128 chunks (2,048 blocks), footprint 61x61; built by buriedCity if it fits its ground and no higher-ranked set piece (rank < 5) claims it (+2 cordon)",0.006092,0.2380,"about 1 per 2,000 x 2,000 blocks",buried: ceiling 10 blocks under the lowest ground sample and 26 blocks of height must stay >= y5 (floor seeded between y5 and that ceiling),"38,213 lattice cells in a 400k x 400k-block square outside r=3,072; 38,069 admitted",0.03%,
The Mastaba,reg:6,Claude Code set piece,"register lattice: one candidate per 126x126 chunks (2,016 blocks), footprint 49x49; built by mastaba if it fits its ground and no higher-ranked set piece (rank < 6) claims it (+2 cordon)",0.002505,0.0978,"about 1 per 3,200 x 3,200 blocks","surface: ground under the footprint within 8 blocks (4-block samples), all samples y64-136","39,196 lattice cells in a 400k x 400k-block square outside r=3,072; 15,653 admitted",0.62%,
The Garrison,reg:7,Claude Code set piece,"register lattice: one candidate per 124x124 chunks (1,984 blocks), footprint 57x45; built by garrison if it fits its ground and no higher-ranked set piece (rank < 7) claims it (+2 cordon)",0.002925,0.1143,"about 1 per 3,000 x 3,000 blocks","surface: ground under the footprint within 9 blocks (4-block samples), all samples y64-136","40,594 lattice cells in a 400k x 400k-block square outside r=3,072; 18,277 admitted",0.55%,
Ostrovets Station,reg:8,Claude Code set piece,"register lattice: one candidate per 122x122 chunks (1,952 blocks), footprint 57x49; built by nuclear if it fits its ground and no higher-ranked set piece (rank < 8) claims it (+2 cordon)",0.002480,0.0969,"about 1 per 3,200 x 3,200 blocks","surface: ground under the footprint within 8 blocks (4-block samples), all samples y64-136","42,017 lattice cells in a 400k x 400k-block square outside r=3,072; 15,495 admitted",0.64%,
The Interchange,reg:9,Claude Code set piece,"register lattice: one candidate per 120x120 chunks (1,920 blocks), footprint 61x29; built by interchange if it fits its ground and no higher-ranked set piece (rank < 9) claims it (+2 cordon)",0.004608,0.1800,"about 1 per 2,400 x 2,400 blocks","surface: ground under the footprint within 12 blocks (4-block samples), all samples y64-136","43,256 lattice cells in a 400k x 400k-block square outside r=3,072; 28,793 admitted",0.34%,
